overall size rank,monthly unique devices,mobile unique devices,monthly pageviews,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority mobile editors,monthly new active editors,second month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly structured discussions messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,language name,domain name,wiki name
366,30360.5000,0.5868,67323.1667,0.5436,0.0000,1301.1643,23.3333,2.5000,1.0833,0.3548,0.5833,0.0000,245.6667,0.0051,0.2904,0.0790,0.1499,0.0716,0.8659,0.0000,8646,49360,5.7090,right-to-left,fawikivoyage,wikivoyage,fa,Persian,fa.wikivoyage.org,Persian Wikivoyage
367,29255.9167,0.5123,100049.0833,0.3232,0.0000,2721.4806,10.7500,2.5833,1.9167,0.0141,0.4167,0.0000,169.9167,0.0000,0.0539,0.0000,0.1496,0.2742,0.8496,0.0000,12256,105196,8.5832,left-to-right,fiwikisource,wikisource,fi,Finnish,fi.wikisource.org,Finnish Wikisource
368,23238.3333,0.1941,76451.3333,0.1454,0.0000,1523.8251,15.2500,3.1667,2.0000,0.1982,0.2500,0.0000,456.9167,0.0000,0.0275,0.1102,0.0328,0.0235,0.9410,0.0000,4103,99355,24.2152,left-to-right,nlwikivoyage,wikivoyage,nl,Dutch,nl.wikivoyage.org,Dutch Wikivoyage
369,31054.6667,0.7857,76330.7500,0.6886,0.0000,1817.8341,17.0833,2.3333,2.1667,0.3065,0.1667,0.0000,1205.5833,0.0032,0.2433,0.0307,0.0102,0.0201,0.9299,0.0000,454,8473,18.6630,left-to-right,bnwikibooks,wikibooks,bn,Bangla,bn.wikibooks.org,Bengali Wikibooks
370,45666.1667,0.5402,84558.4167,0.4747,0.0000,4683.7094,9.7500,1.5833,1.0833,0.0290,0.3333,0.0000,68.5000,0.0012,0.4672,0.0049,0.5268,0.0426,0.8212,0.0000,2305,58683,25.4590,left-to-right,bgwikiquote,wikiquote,bg,Bulgarian,bg.wikiquote.org,Bulgarian Wikiquote
371,46944.7500,0.5959,77773.8333,0.5238,0.0000,5868.0938,8.0000,1.5000,1.0833,0.0000,0.3333,0.0000,45.1667,0.0000,0.0646,0.5092,0.3137,0.1310,0.7219,0.0000,1422,19408,13.6484,left-to-right,elwikivoyage,wikivoyage,el,Greek,el.wikivoyage.org,Greek Wikivoyage
372,41972.9167,0.3516,197604.0000,0.1525,0.0000,3758.7687,11.1667,1.6667,1.6667,0.0580,0.0000,0.0000,69.7500,0.0000,0.0418,0.0024,0.2246,0.0323,0.7905,0.0000,38946,96935,2.4890,left-to-right,dawiktionary,wiktionary,da,Danish,da.wiktionary.org,Danish Wiktionary
373,28625.4167,0.1137,177706.9167,0.0512,0.0008,1897.8177,15.0833,2.4167,2.0000,0.0902,0.3333,0.0000,93.4167,0.0088,0.1677,0.3524,0.1240,0.0294,0.7947,0.0000,3550,27534,7.7561,left-to-right,furwiki,wikipedia,fur,Friulian,fur.wikipedia.org,Friulian Wikipedia
374,29292.9167,0.1003,160812.4167,0.0422,0.0008,955.2038,30.6667,2.3333,3.1667,0.0530,0.8333,0.0000,202.1667,0.0049,0.0540,0.1760,0.4312,0.0577,0.8355,0.0000,7404,23497,3.1736,left-to-right,miwiki,wikipedia,mi,Maori,mi.wikipedia.org,Maori Wikipedia
375,24439.7500,0.8205,42843.0833,0.6960,0.0000,4807.8197,5.0833,2.7500,0.3333,0.1860,1.3333,0.4000,204.7500,0.0000,0.3048,0.0073,0.0313,0.0183,0.7128,0.0000,2681,8837,3.2962,left-to-right,mrwiktionary,wiktionary,mr,Marathi,mr.wiktionary.org,Marathi Wiktionary
376,28669.7500,0.1893,106166.5000,0.1103,0.0013,2422.7958,11.8333,2.3333,0.9167,0.1053,0.5000,0.0000,78.6667,0.0053,0.2299,0.0826,0.2013,0.0212,0.7822,0.0000,3257,23994,7.3669,left-to-right,lnwiki,wikipedia,ln,Lingala,ln.wikipedia.org,Lingala Wikipedia
377,53052.5833,0.8985,112268.9167,0.8376,0.0000,8376.7237,6.3333,1.2500,0.8333,0.3415,0.0000,0.0000,98.9167,0.0149,0.1955,0.0480,0.1879,0.1786,0.8736,0.0000,60877,23052,0.3787,left-to-right,jvwiktionary,wiktionary,jv,Javanese,jv.wiktionary.org,Javanese Wiktionary
378,65301.6667,0.6658,125547.5833,0.5557,0.0000,10046.4103,6.5000,1.0000,1.0000,0.1111,0.0833,0.0000,120.4167,0.0021,0.1246,0.0159,0.1779,0.0567,0.8926,0.0000,15975,53438,3.3451,left-to-right,tlwiktionary,wiktionary,tl,Tagalog,tl.wiktionary.org,Tagalog Wiktionary
379,32248.2500,0.1312,202121.3333,0.0495,0.0010,1944.6181,16.5833,2.0000,1.5833,0.0956,0.0000,0.0000,130.5833,0.1748,0.0702,0.0702,0.1385,0.0249,0.8524,0.0000,3618,69456,19.1973,left-to-right,ladwiki,wikipedia,lad,Ladino,lad.wikipedia.org,Ladino Wikipedia
380,23928.7500,0.3004,82284.0000,0.1549,0.0014,1805.9434,13.2500,2.6667,1.8333,0.1146,0.2500,0.0000,164.0833,0.0046,0.0970,0.0874,0.0589,0.0416,0.8951,0.0000,4286,42963,10.0240,left-to-right,lezwiki,wikipedia,lez,Lezghian,lez.wikipedia.org,Lezghian Wikipedia
381,17318.3333,0.4450,53273.6667,0.2913,0.0018,1167.5281,14.8333,3.6667,1.2500,0.2235,0.1667,0.0000,410.0000,0.0627,0.6272,0.0689,0.0283,0.0419,0.9209,0.0000,6375,32294,5.0657,right-to-left,glkwiki,wikipedia,glk,Gilaki,glk.wikipedia.org,Gilaki Wikipedia
382,20030.9167,0.3740,41567.7500,0.3027,0.0000,1938.4758,10.3333,3.1667,1.4167,0.0423,0.8333,0.2500,315.9167,0.0000,0.0061,0.0011,0.2181,0.0443,0.8752,0.0000,1022,23308,22.8063,left-to-right,ukwikibooks,wikibooks,uk,Ukrainian,uk.wikibooks.org,Ukrainian Wikibooks
383,17445.4167,0.1560,156881.0833,0.0473,0.0000,1119.4920,15.5833,3.5833,1.6667,0.0538,0.1667,0.0000,2757.6667,0.7505,0.0013,0.0028,0.0031,0.0540,0.9673,0.0000,105748,196184,1.8552,left-to-right,eowiktionary,wiktionary,eo,Esperanto,eo.wiktionary.org,Esperanto Wiktionary
384,19196.8333,0.6052,66896.5000,0.4830,0.0000,1785.7519,10.7500,3.2500,1.3333,0.2222,0.2500,0.0000,189.2500,0.9224,0.3069,0.0335,0.0757,0.0427,0.8891,0.0000,124073,81056,0.6533,left-to-right,mywiktionary,wiktionary,my,Burmese,my.wiktionary.org,Burmese Wiktionary
385,25746.1667,0.3834,83632.3333,0.2431,0.0000,1457.3302,17.6667,2.4167,1.0000,0.1894,1.0000,0.0000,357.4167,0.9025,0.0366,0.3458,0.0443,0.0221,0.8902,0.0000,9227,31977,3.4656,right-to-left,arwikinews,wikinews,ar,Arabic,ar.wikinews.org,Arabic Wikinews
386,39179.1667,0.1301,150300.2500,0.0683,0.0005,2474.4737,15.8333,1.5833,1.0833,0.0984,0.4167,0.0000,171.6667,0.0015,0.0316,0.1388,0.2175,0.0364,0.8789,0.0000,10399,66021,6.3488,left-to-right,mhrwiki,wikipedia,mhr,Eastern Mari,mhr.wikipedia.org,Eastern Mari Wikipedia
387,31003.9167,0.1242,226548.6667,0.0473,0.0012,2138.2011,14.5000,2.0000,1.0000,0.1176,0.0833,1.0000,996.5833,0.3325,0.0069,0.0791,0.0196,0.0231,0.9627,0.0000,7332,116380,15.8729,left-to-right,nahwiki,wikipedia,nah,Nahuatl,nah.wikipedia.org,Nāhuatl Wikipedia
388,34920.5833,0.1212,143119.4167,0.0728,0.0014,2408.3161,14.5000,1.7500,1.4167,0.1651,0.4167,0.0000,107.4167,0.0023,0.1342,0.0303,0.1660,0.1195,0.8198,0.0000,9431,41093,4.3572,left-to-right,hakwiki,wikipedia,hak,Hakka Chinese,hak.wikipedia.org,Hakka Chinese Wikipedia
389,25034.8333,0.0897,105104.7500,0.0533,0.0002,2016.2282,12.4167,2.4167,2.7500,0.0413,0.5000,0.0000,196.4167,0.0527,0.0344,0.0475,0.1290,0.0755,0.8680,0.0000,1665,11938,7.1700,left-to-right,nawiki,wikipedia,na,Nauru,na.wikipedia.org,Nauru Wikipedia
390,23339.6667,0.3600,63872.8333,0.2547,0.0000,2719.1845,8.5833,2.5833,1.3333,0.0204,0.1667,0.0000,284.9167,0.0044,0.0187,0.0012,0.0187,0.0085,0.9234,0.0000,29065,58751,2.0214,left-to-right,skwiktionary,wiktionary,sk,Slovak,sk.wiktionary.org,Slovak Wiktionary
391,12664.5000,0.1172,126793.9167,0.0616,0.0000,1085.5286,11.6667,4.7500,0.9167,0.0189,0.0000,0.0000,763.1667,0.2811,0.0080,0.0001,0.0145,0.0035,0.9512,0.0000,60686,136480,2.2490,left-to-right,ocwiktionary,wiktionary,oc,Occitan,oc.wiktionary.org,Occitan Wiktionary
392,24538.1667,0.2056,88576.0000,0.1090,0.0008,1654.2584,14.8333,2.4167,0.7500,0.0648,0.4167,0.0000,319.6667,0.0517,0.0180,0.0185,0.0459,0.0091,0.9231,0.0000,5124,28125,5.4889,left-to-right,udmwiki,wikipedia,udm,Udmurt,udm.wikipedia.org,Udmurt Wikipedia
393,27071.0000,0.1102,113791.8333,0.0620,0.0016,1755.9568,15.4167,2.1667,1.8333,0.0755,0.1667,0.0000,110.8333,0.0134,0.0466,0.0692,0.2195,0.0436,0.8193,0.0000,5400,36264,6.7156,left-to-right,csbwiki,wikipedia,csb,Kashubian,csb.wikipedia.org,Kashubian Wikipedia
394,68660.5833,0.5993,176244.5000,0.3761,0.0000,10171.9383,6.7500,0.8333,0.5833,0.0980,0.0000,0.0000,43.7500,0.0057,0.2438,0.0419,0.3924,0.2114,0.7873,0.0000,32843,93596,2.8498,left-to-right,hrwiktionary,wiktionary,hr,Croatian,hr.wiktionary.org,Croatian Wiktionary
395,52578.4167,0.4869,245578.5000,0.1644,0.0003,4292.1156,12.2500,1.0833,1.9167,0.1875,0.1667,0.0000,173.8333,0.0993,0.6395,0.0139,0.1160,0.0264,0.8865,0.0000,13728,27947,2.0358,left-to-right,map_bmswiki,wikipedia,map-bms,Banyumasan,map-bms.wikipedia.org,Basa Banyumasan Wikipedia
396,17728.9167,0.1745,133666.5000,0.0676,0.0000,1834.0259,9.6667,3.1667,1.4167,0.0508,0.0833,0.0000,1682.9167,0.0023,0.0108,0.0000,0.0145,0.0105,0.9667,0.0000,69656,369922,5.3107,left-to-right,glwiktionary,wiktionary,gl,Galician,gl.wiktionary.org,Galician Wiktionary
397,36372.1667,0.2436,91372.4167,0.1818,0.0000,5595.7179,6.5000,1.5000,0.7500,0.0513,0.2500,0.0000,108.9167,0.5923,0.0230,0.0505,0.0451,0.0115,0.8842,0.0000,4500,53735,11.9411,left-to-right,skwikiquote,wikiquote,sk,Slovak,sk.wikiquote.org,Slovak Wikiquote
398,26106.7500,0.1533,136772.4167,0.0663,0.0013,1640.2147,15.9167,2.0833,0.9167,0.0439,0.5000,0.0000,126.8333,0.2854,0.0657,0.0414,0.0368,0.0256,0.8214,0.0000,3724,47332,12.7100,left-to-right,rmwiki,wikipedia,rm,Romansh,rm.wikipedia.org,Romansh Wikipedia
399,29636.0000,0.1263,186123.2500,0.0478,0.0005,1833.1546,16.1667,1.8333,1.8333,0.0538,1.0833,0.0000,98.9167,0.0247,0.1803,0.2342,0.2780,0.0615,0.7803,0.0000,3332,35759,10.7320,left-to-right,extwiki,wikipedia,ext,Extremaduran,ext.wikipedia.org,Extremaduran Wikipedia
400,26054.8333,0.0961,122315.5833,0.0553,0.0004,2249.3381,11.5833,2.0833,1.7500,0.0412,0.1667,0.0000,114.1667,0.0029,0.0620,0.0241,0.4730,0.2701,0.8636,0.0000,3877,22289,5.7490,left-to-right,mwlwiki,wikipedia,mwl,Mirandese,mwl.wikipedia.org,Mirandese Wikipedia
401,8797.2500,0.2788,37354.6667,0.1946,0.0134,495.6197,17.7500,6.0000,0.6667,0.2637,0.4167,0.1429,493.8333,0.0002,0.0861,0.0532,0.0255,0.0167,0.9209,0.0000,1177,25890,21.9966,left-to-right,mnwwiki,wikipedia,mnw,Mon,mnw.wikipedia.org,Mon Wikipedia
402,18867.0833,0.1244,68956.3333,0.0943,0.0044,1460.6774,12.9167,2.7500,1.2500,0.1333,0.2500,0.2857,638.0833,0.0991,0.0182,0.0330,0.0248,0.0129,0.9525,0.0000,10276,32355,3.1486,left-to-right,shnwiki,wikipedia,shn,Shan,shn.wikipedia.org,Shan Wikipedia
403,38795.7500,0.4746,72921.6667,0.4139,0.0000,3665.7402,10.5833,1.3333,3.3333,0.1798,0.0833,0.0000,112.7500,0.0000,0.0569,0.0103,0.0739,0.0370,0.8961,0.0000,1182,30551,25.8469,left-to-right,svwikibooks,wikibooks,sv,Swedish,sv.wikibooks.org,Swedish Wikibooks
404,44046.7500,0.6649,75119.9167,0.5953,0.0000,4805.1000,9.1667,1.1667,1.0833,0.1429,0.3333,0.0000,230.5000,0.0014,0.0998,0.2007,0.0333,0.0152,0.9322,0.0000,90,25106,278.9556,left-to-right,thwikiquote,wikiquote,th,Thai,th.wikiquote.org,Thai Wikiquote
405,46762.6667,0.5991,87850.7500,0.5159,0.0000,7482.0267,6.2500,1.0833,1.5000,0.0577,0.2500,0.0000,78.3333,0.0021,0.0766,0.0032,0.0840,0.0372,0.8556,0.0000,1827,18269,9.9995,left-to-right,elwikiquote,wikiquote,el,Greek,el.wikiquote.org,Greek Wikiquote
406,11449.6667,0.1757,114290.9167,0.0892,0.0000,1108.0323,10.3333,4.4167,1.8333,0.0213,0.0833,0.0000,3330.3333,0.0034,0.0013,0.0001,0.0292,0.0023,0.9527,97.4167,28219,263768,9.3472,left-to-right,wawiktionary,wiktionary,wa,Walloon,wa.wiktionary.org,Walloon Wiktionary
407,40168.5833,0.3334,128669.5833,0.1941,0.0015,2957.1963,13.5833,1.2500,1.5833,0.1417,0.1667,0.3333,85.6667,0.0586,0.1741,0.1342,0.2062,0.0292,0.7980,0.0000,72352,50088,0.6923,left-to-right,newwiki,wikipedia,new,Newari,new.wikipedia.org,Newari Wikipedia
408,16713.6667,0.2011,76413.8333,0.1040,0.0000,818.6286,20.4167,3.0000,3.8333,0.3086,0.2500,0.0278,221.8333,0.2061,0.0289,0.0019,0.0349,0.0864,0.9083,0.0000,4463,72281,16.1956,left-to-right,nlwikinews,wikinews,nl,Dutch,nl.wikinews.org,Dutch Wikinews
409,31529.2500,0.5167,86841.5000,0.3175,0.0000,1525.6089,20.6667,1.5833,4.8333,0.2663,0.6667,0.0000,144.8333,0.0011,0.1076,0.0058,0.5610,0.1266,0.8377,0.0000,999,15467,15.4825,left-to-right,jawikiquote,wikiquote,ja,Japanese,ja.wikiquote.org,Japanese Wikiquote
410,18414.0000,0.1775,80274.4167,0.0924,0.0028,1194.4216,15.4167,2.6667,2.0000,0.1261,0.5833,0.0000,261.7500,0.0251,0.1554,0.1684,0.1165,0.0315,0.9069,0.0000,2610,15826,6.0636,left-to-right,avwiki,wikipedia,av,Avaric,av.wikipedia.org,Avaric Wikipedia
411,26473.9167,0.2375,87515.3333,0.1329,0.0007,1689.8245,15.6667,1.8333,2.8333,0.1364,0.2500,0.0588,201.4167,0.0119,0.0505,0.0848,0.1278,0.0513,0.8900,0.0000,1361,9829,7.2219,left-to-right,biwiki,wikipedia,bi,Bislama,bi.wikipedia.org,Bislama Wikipedia
412,10913.0000,0.1324,43197.4167,0.0801,0.0000,903.1448,12.0833,4.3333,1.4167,0.0290,0.1667,0.0000,290.4167,0.2089,0.0502,0.0043,0.0121,0.0118,0.9185,0.0000,7571,30859,4.0759,left-to-right,cswikinews,wikinews,cs,Czech,cs.wikinews.org,Czech Wikinews
413,36997.0000,0.3778,154968.2500,0.3459,0.0050,3999.6757,9.2500,1.2500,1.0833,0.3077,0.1667,0.0000,284.9167,0.0303,0.5481,0.0731,0.2530,0.1451,0.9338,0.0000,1072,13974,13.0354,left-to-right,omwiki,wikipedia,om,Oromo,om.wikipedia.org,Oromo Wikipedia
414,20515.1667,0.2804,72702.5000,0.2104,0.0000,1189.2850,17.2500,2.1667,4.6667,0.1935,0.0000,0.0000,197.0000,0.2167,0.0207,0.0563,0.0178,0.0207,0.9063,9.0000,3803,62033,16.3116,left-to-right,cawikiquote,wikiquote,ca,Catalan,ca.wikiquote.org,Catalan Wikiquote
415,22065.5833,0.2780,66592.2500,0.1876,0.0063,1357.8821,16.2500,2.0000,3.4167,0.1197,0.3333,0.0000,194.6667,0.0013,0.0625,0.1366,0.4961,0.0295,0.8821,0.0000,587,10036,17.0971,left-to-right,akwiki,wikipedia,ak,Akan,ak.wikipedia.org,Akan Wikipedia
416,15518.9167,0.1079,43092.0833,0.0921,0.0009,1677.7207,9.2500,2.8333,1.0000,0.0133,0.5000,0.0000,112.9167,0.0022,0.0140,0.1004,0.0458,0.0192,0.8760,0.0000,1873,11590,6.1879,left-to-right,atjwiki,wikipedia,atj,Atikamekw,atj.wikipedia.org,Atikamekw Wikipedia
417,22887.8333,0.0670,178849.5833,0.0285,0.0005,1961.8143,11.6667,1.9167,0.7500,0.0723,0.3333,0.0000,156.8333,0.0756,0.0106,0.0324,0.0175,0.0112,0.9057,0.0000,3745,21087,5.6307,left-to-right,olowiki,wikipedia,olo,Livvi-Karelian,olo.wikipedia.org,Livvi-Karelian Wikipedia
418,32693.9167,0.0937,250859.8333,0.0320,0.0003,2687.1712,12.1667,1.3333,1.7500,0.0638,0.1667,0.0000,54.5000,0.0091,0.1850,0.0872,0.3609,0.0703,0.7658,0.0000,5076,37350,7.3582,left-to-right,gvwiki,wikipedia,gv,Manx,gv.wikipedia.org,Manx Wikipedia
419,27302.5000,0.3903,51865.9167,0.3273,0.0000,2198.8591,12.4167,1.5833,3.2500,0.1524,0.0000,0.0000,42.7500,0.0019,0.0487,0.0000,0.1676,0.0585,0.7194,0.0000,1380,16274,11.7928,left-to-right,svwikiquote,wikiquote,sv,Swedish,sv.wikiquote.org,Swedish Wikiquote
420,57143.2500,0.8377,147509.1667,0.8271,0.0000,19591.9714,2.9167,0.7500,0.3333,0.1304,0.2500,0.3333,139.8333,0.0000,0.1091,0.0137,0.0924,0.0912,0.8908,0.0000,146,2566,17.5753,left-to-right,kkwikibooks,wikibooks,kk,Kazakh,kk.wikibooks.org,Kazakh Wikibooks
421,19539.1667,0.7085,42857.5000,0.5344,0.0000,3256.5278,6.0000,2.1667,0.1667,0.2903,0.2500,0.0000,211.0000,0.0016,0.3724,0.0150,0.0170,0.0687,0.9079,0.0000,26543,29357,1.1060,right-to-left,urwiktionary,wiktionary,ur,Urdu,ur.wiktionary.org,Urdu Wiktionary
422,18115.3333,0.1145,62219.2500,0.0840,0.0019,1309.5422,13.8333,2.3333,2.3333,0.0960,1.1667,0.0000,145.5000,0.0359,0.1644,0.1071,0.4066,0.0493,0.8274,0.0000,2420,27939,11.5450,left-to-right,hawwiki,wikipedia,haw,Hawaiian,haw.wikipedia.org,Hawaiian Wikipedia
423,29680.0833,0.3353,73093.5833,0.2420,0.0000,4946.6806,6.0000,1.4167,0.3333,0.0556,0.2500,0.0000,52.3333,0.0048,0.0271,0.0000,0.1019,0.0621,0.7888,0.0000,2827,54684,19.3435,left-to-right,ltwikiquote,wikiquote,lt,Lithuanian,lt.wikiquote.org,Lithuanian Wikiquote
424,14296.9167,0.1484,63737.9167,0.0849,0.0014,1361.6111,10.5000,2.9167,0.9167,0.1250,0.0833,0.0000,470.1667,0.0143,0.2306,0.0067,0.0126,0.0092,0.9425,0.0000,1919,29152,15.1912,left-to-right,inhwiki,wikipedia,inh,Ingush,inh.wikipedia.org,Ingush Wikipedia
425,31255.0833,0.1734,176765.0000,0.0568,0.0010,2586.6276,12.0833,1.3333,1.5833,0.1042,0.0833,0.0000,108.2500,0.0046,0.0855,0.0470,0.1232,0.1363,0.8792,0.0000,4776,35795,7.4948,left-to-right,zeawiki,wikipedia,zea,Zeelandic,zea.wikipedia.org,Zeelandic Wikipedia
426,82780.0000,0.6955,287710.3333,0.5853,0.0000,9460.5714,8.7500,0.5000,2.3333,0.1408,0.0000,0.0000,88.9167,0.0028,0.1153,0.0159,0.1359,0.0366,0.8619,0.0000,22032,105600,4.7930,left-to-right,afwiktionary,wiktionary,af,Afrikaans,af.wiktionary.org,Afrikaans Wiktionary
427,29214.8333,0.2646,104383.0000,0.1882,0.0009,2827.2419,10.3333,1.4167,1.5833,0.1209,0.5000,0.0000,62.7500,0.0092,0.2590,0.1315,0.2709,0.0372,0.7622,0.0000,1923,13129,6.8274,left-to-right,kaawiki,wikipedia,kaa,Kara-Kalpak,kaa.wikipedia.org,Kara-Kalpak Wikipedia
428,14183.1667,0.2184,53828.4167,0.1540,0.0000,2502.9118,5.6667,2.9167,0.9167,0.0312,0.0833,0.0000,398.3333,0.8189,0.0013,0.0000,0.0075,0.0021,0.8806,0.0000,6501,98077,15.0864,left-to-right,nowikisource,wikisource,no,Norwegian,no.wikisource.org,Norwegian Wikisource
429,35378.4167,0.1303,210134.0833,0.0580,0.0003,4564.9570,7.7500,1.1667,0.4167,0.2121,0.2500,0.2500,714.4167,0.0134,0.0090,0.0056,0.0069,0.0029,0.9711,0.0000,8491,32888,3.8733,left-to-right,nsowiki,wikipedia,nso,Northern Sotho,nso.wikipedia.org,Northern Sotho Wikipedia
430,20024.4167,0.1865,79800.1667,0.1373,0.0025,1779.9481,11.2500,2.0000,2.0000,0.1882,0.1667,0.2500,103.2500,0.0056,0.1840,0.1743,0.2236,0.0508,0.8207,0.0000,3009,26935,8.9515,right-to-left,dvwiki,wikipedia,dv,Divehi,dv.wikipedia.org,Divehi Wikipedia
431,27668.6667,0.1548,110640.3333,0.0869,0.0014,1738.3455,15.9167,1.4167,1.5000,0.0703,0.0000,0.0000,230.9167,0.0007,0.0480,0.0213,0.0613,0.0141,0.9113,0.0000,5020,19927,3.9695,left-to-right,aywiki,wikipedia,ay,Aymara,ay.wikipedia.org,Aymara Wikipedia
432,16555.7500,0.3887,55353.0833,0.2058,0.0015,1333.3490,12.4167,2.3333,1.0833,0.0645,0.2500,0.0000,193.4167,0.0026,0.0297,0.1021,0.0836,0.0349,0.8934,0.0000,3323,29371,8.8387,left-to-right,tyvwiki,wikipedia,tyv,Tuvinian,tyv.wikipedia.org,Tuvinian Wikipedia
433,21510.0000,0.2501,81207.5000,0.1295,0.0014,1545.6287,13.9167,1.7500,0.8333,0.0297,0.0833,0.3333,185.5833,0.0004,0.0135,0.0440,0.0507,0.0076,0.9056,0.0000,5465,29890,5.4694,left-to-right,kvwiki,wikipedia,kv,Komi,kv.wikipedia.org,Komi Wikipedia
434,28111.9167,0.0704,126736.6667,0.0381,0.0012,3407.5051,8.2500,1.3333,0.9167,0.1045,0.1667,0.0000,35.6667,0.0093,0.0958,0.1145,0.1542,0.0187,0.7226,0.0000,1685,14780,8.7715,left-to-right,jamwiki,wikipedia,jam,Jamaican Creole English,jam.wikipedia.org,Jamaican Patois Wikipedia
435,24659.9167,0.6903,52874.0833,0.5917,0.0000,3745.8101,6.5833,1.5000,0.5000,0.0476,0.3333,0.0000,172.1667,0.0000,0.0073,0.0010,0.0092,0.0053,0.9084,0.0000,2156,31272,14.5046,left-to-right,hywikiquote,wikiquote,hy,Armenian,hy.wikiquote.org,Armenian Wikiquote
436,12567.0833,0.2665,42250.4167,0.1872,0.0000,1169.0310,10.7500,2.9167,3.3333,0.2118,0.0833,0.0000,508.3333,0.0000,0.0033,0.0000,0.0021,0.0013,0.9467,0.0000,3306,46054,13.9304,left-to-right,dawikisource,wikisource,da,Danish,da.wikisource.org,Danish Wikisource
437,30966.2500,0.1286,207441.7500,0.0386,0.0004,3071.0331,10.0833,1.1667,0.7500,0.0471,0.1667,0.0000,39.8333,0.4330,0.0690,0.0272,0.0921,0.0209,0.6963,0.0000,4052,37452,9.2428,left-to-right,stqwiki,wikipedia,stq,Saterland Frisian,stq.wikipedia.org,Saterland Frisian Wikipedia
438,22412.0833,0.1905,62436.9167,0.1524,0.0019,2279.1949,9.8333,1.5833,0.7500,0.1538,0.2500,0.4286,70.1667,0.0071,0.0867,0.2316,0.2363,0.0261,0.7910,0.0000,1379,8787,6.3720,left-to-right,lgwiki,wikipedia,lg,Ganda,lg.wikipedia.org,Ganda Wikipedia
439,20226.5000,0.1709,85493.9167,0.0861,0.0019,1697.3287,11.9167,1.7500,1.0833,0.0851,0.1667,0.0000,665.8333,0.0037,0.0038,0.1399,0.0096,0.0200,0.9671,0.0000,2747,26853,9.7754,left-to-right,bxrwiki,wikipedia,bxr,Russia Buriat,bxr.wikipedia.org,Buryat Wikipedia
440,8645.0000,0.4015,39399.6667,0.2819,0.0717,843.4146,10.2500,4.0833,0.8333,0.2364,0.0833,0.0000,126.5000,0.0000,0.1930,0.6443,0.0817,0.0086,0.8569,0.0000,1126,7347,6.5249,right-to-left,nqowiki,wikipedia,nqo,N’Ko,nqo.wikipedia.org,N'Ko Wikipedia
441,38509.4167,0.2017,163696.3333,0.0847,0.0029,3787.8115,10.1667,0.9167,1.3333,0.0682,0.1667,0.0000,69.2500,0.0189,0.0722,0.1504,0.1721,0.0770,0.8182,0.0000,2917,73254,25.1128,left-to-right,kshwiki,wikipedia,ksh,Colognian,ksh.wikipedia.org,Colognian Wikipedia
442,29810.0000,0.8526,100688.5833,0.7909,0.0000,3439.6154,8.6667,1.1667,1.1667,0.0625,0.0000,0.0000,253.6667,0.0759,0.0512,0.0030,0.0591,0.0076,0.8973,0.0000,7258,146035,20.1206,left-to-right,knwikisource,wikisource,kn,Kannada,kn.wikisource.org,Kannada Wikisource
443,21300.5000,0.0665,65106.6667,0.0897,0.0000,1539.7952,13.8333,1.5833,4.0833,0.1405,0.0000,0.0000,147.5000,0.3298,0.0096,0.0000,0.0311,0.0192,0.9001,0.0000,4754,28151,5.9215,left-to-right,cawikinews,wikinews,ca,Catalan,ca.wikinews.org,Catalan Wikinews
444,20078.0000,0.4046,46836.2500,0.3326,0.0000,2834.5412,7.0833,1.6667,1.7500,0.1373,0.0833,0.0000,122.5833,0.0000,0.0190,0.0027,0.0279,0.0184,0.8987,0.0000,21548,50512,2.3442,left-to-right,huwikisource,wikisource,hu,Hungarian,hu.wikisource.org,Hungarian Wikisource
445,8384.2500,0.2365,43757.9167,0.1944,0.0042,666.2980,12.5833,3.9167,1.6667,0.1852,0.2500,0.0000,1092.8333,0.1133,0.6058,0.0492,0.0631,0.0311,0.9347,0.0000,1021,12309,12.0558,right-to-left,kswiki,wikipedia,ks,Kashmiri,ks.wikipedia.org,Kashmiri Wikipedia
446,27683.9167,0.2127,93986.0000,0.1141,0.0033,3818.4713,7.2500,1.1667,1.4167,0.0847,0.0833,0.0000,88.6667,0.2432,0.0207,0.0226,0.0508,0.0160,0.8928,0.0000,2735,40499,14.8077,left-to-right,pflwiki,wikipedia,pfl,Palatine German,pfl.wikipedia.org,Palatine German Wikipedia
447,9638.0000,0.6201,41400.2500,0.6173,0.0000,1344.8372,7.1667,3.3333,0.0833,0.1905,0.2500,0.4000,203.4167,0.0000,0.0557,0.0041,0.0098,0.0074,0.8632,0.0000,1194,38268,32.0503,left-to-right,orwikisource,wikisource,or,Odia,or.wikisource.org,Oriya Wikisource
448,21104.6667,0.1369,64706.1667,0.0899,0.0007,1994.1417,10.5833,1.5000,1.5833,0.0978,0.2500,0.0000,142.2500,0.1021,0.0275,0.1687,0.2367,0.0445,0.8937,0.0000,858,5271,6.1434,left-to-right,nywiki,wikipedia,ny,Nyanja,ny.wikipedia.org,Nyanja Wikipedia
